"date","location_long","location_short","gt_source","cum.death","inc.death"
2020-01-24,"Moldova","MDA","JHU",0,0
2020-01-24,"Monaco","MCO","JHU",0,0
2020-01-24,"Mongolia","MNG","JHU",0,0
2020-01-24,"Montenegro","MNE","JHU",0,0
2020-01-24,"Morocco","MAR","JHU",0,0
2020-01-24,"Mozambique","MOZ","JHU",0,0
2020-01-24,"MS Zaandam","MS Zaandam","JHU",0,0
2020-01-24,"Myanmar (Burma)","MMR","JHU",0,0
2020-01-24,"Namibia","NAM","JHU",0,0
2020-01-24,"Nepal","NPL","JHU",0,0
2020-01-24,"Netherlands","NLD","JHU",0,0
2020-01-24,"New Zealand","NZL","JHU",0,0
2020-01-24,"Nicaragua","NIC","JHU",0,0
2020-01-24,"Niger","NER","JHU",0,0
2020-01-24,"Nigeria","NGA","JHU",0,0
2020-01-24,"Norway","NOR","JHU",0,0
2020-01-24,"Oman","OMN","JHU",0,0
2020-01-24,"Pakistan","PAK","JHU",0,0
2020-01-24,"Palestinian Territories","PSE","JHU",0,0
2020-01-24,"Panama","PAN","JHU",0,0
2020-01-24,"Papua New Guinea","PNG","JHU",0,0
2020-01-24,"Paraguay","PRY","JHU",0,0
2020-01-24,"Peru","PER","JHU",0,0
2020-01-24,"Philippines","PHL","JHU",0,0
2020-01-24,"Poland","POL","JHU",0,0
2020-01-24,"Portugal","PRT","JHU",0,0
2020-01-24,"Qatar","QAT","JHU",0,0
2020-01-24,"Romania","ROU","JHU",0,0
2020-01-24,"Russia","RUS","JHU",0,0
2020-01-24,"Rwanda","RWA","JHU",0,0
2020-01-24,"San Marino","SMR","JHU",0,0
2020-01-24,"São Tomé & Príncipe","STP","JHU",0,0
2020-01-24,"Saudi Arabia","SAU","JHU",0,0
2020-01-24,"Senegal","SEN","JHU",0,0
2020-01-24,"Serbia","SRB","JHU",0,0
2020-01-24,"Seychelles","SYC","JHU",0,0
2020-01-24,"Sierra Leone","SLE","JHU",0,0
2020-01-24,"Singapore","SGP","JHU",0,0
2020-01-24,"Slovakia","SVK","JHU",0,0
2020-01-24,"Slovenia","SVN","JHU",0,0
2020-01-24,"Somalia","SOM","JHU",0,0
2020-01-24,"South Africa","ZAF","JHU",0,0
2020-01-24,"South Korea","KOR","JHU",0,0
2020-01-24,"South Sudan","SSD","JHU",0,0
2020-01-24,"Spain","ESP","JHU",0,0
