state,area_between_bounds,max_ev,date_max_ev,range_at_max,last_observation_date,model_name
Connecticut,15492.824999999997,191.88400000000001,2020-04-22,378.125,2020-04-05,-
District of Columbia,77.02499999999998,1.921,2020-04-17,7.0,2020-04-05,-
Delaware,32.02499999999998,1.275,2020-04-17,5.0,2020-04-05,-
Florida,13333.69999999999,242.472,2020-04-21,481.04999999999995,2020-04-05,-
Georgia,6498.474999999996,137.467,2020-04-21,297.025,2020-04-05,-
Hawaii,237.14999999999986,10.673,2020-04-17,56.074999999999896,2020-04-05,-
Iowa,1658.9749999999997,17.037,2020-04-26,94.05,2020-04-05,-
Idaho,104.04999999999998,2.935,2020-04-19,10.0,2020-04-05,-
Illinois,5003.574999999998,195.995,2020-04-19,916.649999999999,2020-04-05,-
Indiana,3213.475,95.95100000000001,2020-04-17,668.5,2020-04-05,-
Kansas,595.15,10.374,2020-04-23,36.0,2020-04-05,-
Kentucky,5900.949999999998,54.223,2020-04-25,115.1,2020-04-05,-
Louisiana,45.0,6.127999999999999,2020-04-17,13.0,2020-04-05,-
Massachusetts,23027.149999999998,372.69800000000004,2020-04-18,1464.05,2020-04-05,-
Maryland,5127.2999999999965,137.862,2020-04-19,783.15,2020-04-05,-
Maine,280.09999999999997,6.035,2020-04-19,28.05,2020-04-05,-
Michigan,1478.35,95.75,2020-04-17,446.075,2020-04-05,-
Minnesota,2003.9250000000004,24.456999999999997,2020-04-26,127.025,2020-04-05,-
Missouri,724.5249999999997,11.807,2020-04-18,41.12499999999989,2020-04-05,-
Mississippi,388.125,8.433,2020-04-19,28.0,2020-04-05,-
Montana,47.02499999999998,0.98,2020-04-17,4.0,2020-04-05,-
North Carolina,780.4499999999997,25.64,2020-04-17,92.025,2020-04-05,-
North Dakota,1447.525,22.063000000000002,2020-04-20,94.025,2020-04-05,-
Nebraska,1454.8999999999994,17.924,2020-04-25,86.09999999999991,2020-04-05,-
New Hampshire,72.0,1.6969999999999998,2020-04-17,6.0,2020-04-05,-
New Jersey,10375.074999999997,512.705,2020-04-18,1961.4750000000001,2020-04-05,-
New Mexico,2537.25,26.991,2020-04-22,128.075,2020-04-05,-
Nevada,2020.8500000000008,50.496,2020-04-20,214.125,2020-04-05,-
New York,6611.349999999999,504.911,2020-04-17,1738.025,2020-04-05,-
Ohio,337.17499999999995,21.224,2020-04-17,66.025,2020-04-05,-
