"target_end_date","location_long","location_short","gt_source","gt"
2020-05-07,"New York","NY","JHURD",521
2020-05-08,"New York","NY","JHURD",99
2020-05-09,"New York","NY","JHURD",369
2020-05-10,"New York","NY","JHURD",29
2020-05-11,"New York","NY","JHURD",347
2020-05-12,"New York","NY","JHURD",296
2020-05-13,"New York","NY","JHURD",193
2020-05-14,"New York","NY","JHURD",164
2020-05-15,"New York","NY","JHURD",237
2020-05-16,"New York","NY","JHURD",171
2020-05-17,"New York","NY","JHURD",183
2020-05-18,"New York","NY","JHURD",107
2020-05-19,"New York","NY","JHURD",219
2020-05-20,"New York","NY","JHURD",78
2020-05-21,"New York","NY","JHURD",107
2020-05-22,"New York","NY","JHURD",110
2020-05-23,"New York","NY","JHURD",178
2020-05-24,"New York","NY","JHURD",110
2020-05-25,"New York","NY","JHURD",88
2020-05-26,"New York","NY","JHURD",73
2020-05-27,"New York","NY","JHURD",182
2020-05-28,"New York","NY","JHURD",45
2020-05-29,"New York","NY","JHURD",117
2020-05-30,"New York","NY","JHURD",64
2020-05-31,"New York","NY","JHURD",74
2020-06-01,"New York","NY","JHURD",133
2020-06-02,"New York","NY","JHURD",51
2020-06-03,"New York","NY","JHURD",51
2020-06-04,"New York","NY","JHURD",155
2020-06-05,"New York","NY","JHURD",62
2020-03-15,"New York","NY","JHUTS",6
2020-03-16,"New York","NY","JHUTS",12
2020-03-17,"New York","NY","JHUTS",14
2020-03-18,"New York","NY","JHUTS",25
2020-03-19,"New York","NY","JHUTS",33
2020-03-20,"New York","NY","JHUTS",55
2020-03-21,"New York","NY","JHUTS",44
2020-03-22,"New York","NY","JHUTS",91
2020-03-23,"New York","NY","JHUTS",101
2020-03-24,"New York","NY","JHUTS",125
2020-03-25,"New York","NY","JHUTS",147
2020-03-26,"New York","NY","JHUTS",243
2020-03-27,"New York","NY","JHUTS",309
2020-03-28,"New York","NY","JHUTS",377
2020-03-29,"New York","NY","JHUTS",428
2020-03-30,"New York","NY","JHUTS",540
2020-03-31,"New York","NY","JHUTS",651
2020-04-01,"New York","NY","JHUTS",710
2020-04-02,"New York","NY","JHUTS",813
2020-04-03,"New York","NY","JHUTS",688
2020-04-04,"New York","NY","JHUTS",573
2020-04-05,"New York","NY","JHUTS",794
2020-04-06,"New York","NY","JHUTS",1024
2020-04-07,"New York","NY","JHUTS",1077
2020-04-08,"New York","NY","JHUTS",948
2020-04-09,"New York","NY","JHUTS",944
2020-04-10,"New York","NY","JHUTS",827
2020-04-11,"New York","NY","JHUTS",893
2020-04-12,"New York","NY","JHUTS",944
2020-04-13,"New York","NY","JHUTS",948
2020-04-14,"New York","NY","JHUTS",871
2020-04-15,"New York","NY","JHUTS",752
2020-04-16,"New York","NY","JHUTS",716
2020-04-17,"New York","NY","JHUTS",1026
2020-04-18,"New York","NY","JHUTS",1005
2020-04-19,"New York","NY","JHUTS",-178
2020-04-20,"New York","NY","JHUTS",594
2020-04-21,"New York","NY","JHUTS",570
2020-04-22,"New York","NY","JHUTS",457
2020-04-23,"New York","NY","JHUTS",540
2020-04-24,"New York","NY","JHUTS",212
2020-04-25,"New York","NY","JHUTS",1054
2020-04-26,"New York","NY","JHUTS",260
2020-04-27,"New York","NY","JHUTS",399
2020-04-28,"New York","NY","JHUTS",244
2020-04-29,"New York","NY","JHUTS",565
2020-04-30,"New York","NY","JHUTS",110
2020-05-01,"New York","NY","JHUTS",452
2020-05-02,"New York","NY","JHUTS",159
2020-05-03,"New York","NY","JHUTS",510
2020-05-04,"New York","NY","JHUTS",291
2020-05-05,"New York","NY","JHUTS",125
2020-05-06,"New York","NY","JHUTS",499
2020-05-07,"New York","NY","JHUTS",521
2020-05-08,"New York","NY","JHUTS",99
2020-05-09,"New York","NY","JHUTS",369
2020-05-10,"New York","NY","JHUTS",29
2020-05-11,"New York","NY","JHUTS",347
2020-05-12,"New York","NY","JHUTS",296
2020-05-13,"New York","NY","JHUTS",193
2020-05-14,"New York","NY","JHUTS",164
2020-05-15,"New York","NY","JHUTS",237
2020-05-16,"New York","NY","JHUTS",171
2020-05-17,"New York","NY","JHUTS",183
2020-05-18,"New York","NY","JHUTS",107
2020-05-19,"New York","NY","JHUTS",219
2020-05-20,"New York","NY","JHUTS",78
2020-05-21,"New York","NY","JHUTS",107
2020-05-22,"New York","NY","JHUTS",110
2020-05-23,"New York","NY","JHUTS",178
2020-05-24,"New York","NY","JHUTS",110
2020-05-25,"New York","NY","JHUTS",88
2020-05-26,"New York","NY","JHUTS",73
2020-05-27,"New York","NY","JHUTS",182
2020-05-28,"New York","NY","JHUTS",45
2020-05-29,"New York","NY","JHUTS",117
2020-05-30,"New York","NY","JHUTS",64
2020-05-31,"New York","NY","JHUTS",74
2020-06-01,"New York","NY","JHUTS",133
2020-06-02,"New York","NY","JHUTS",51
2020-06-03,"New York","NY","JHUTS",51
2020-06-04,"New York","NY","JHUTS",155
2020-06-05,"New York","NY","JHUTS",62
2020-03-15,"New York","NY","NYT",4
2020-03-16,"New York","NY","NYT",4
2020-03-17,"New York","NY","NYT",8
2020-03-18,"New York","NY","NYT",14
2020-03-19,"New York","NY","NYT",7
2020-03-20,"New York","NY","NYT",29
2020-03-21,"New York","NY","NYT",27
2020-03-22,"New York","NY","NYT",47
2020-03-23,"New York","NY","NYT",41
2020-03-24,"New York","NY","NYT",73
2020-03-25,"New York","NY","NYT",119
2020-03-26,"New York","NY","NYT",127
2020-03-27,"New York","NY","NYT",143
2020-03-28,"New York","NY","NYT",290
2020-03-29,"New York","NY","NYT",245
2020-03-30,"New York","NY","NYT",332
2020-03-31,"New York","NY","NYT",417
2020-04-01,"New York","NY","NYT",486
2020-04-02,"New York","NY","NYT",548
2020-04-03,"New York","NY","NYT",753
2020-04-04,"New York","NY","NYT",819
2020-04-05,"New York","NY","NYT",800
2020-04-06,"New York","NY","NYT",795
2020-04-07,"New York","NY","NYT",1055
2020-04-08,"New York","NY","NYT",953
2020-04-09,"New York","NY","NYT",1028
2020-04-10,"New York","NY","NYT",996
2020-04-11,"New York","NY","NYT",997
2020-04-12,"New York","NY","NYT",957
2020-04-13,"New York","NY","NYT",882
2020-04-14,"New York","NY","NYT",1003
2020-04-15,"New York","NY","NYT",936
2020-04-16,"New York","NY","NYT",732
2020-04-17,"New York","NY","NYT",804
2020-04-18,"New York","NY","NYT",668
2020-04-19,"New York","NY","NYT",652
2020-04-20,"New York","NY","NYT",619
2020-04-21,"New York","NY","NYT",628
2020-04-22,"New York","NY","NYT",607
2020-04-23,"New York","NY","NYT",565
2020-04-24,"New York","NY","NYT",547
2020-04-25,"New York","NY","NYT",567
2020-04-26,"New York","NY","NYT",478
2020-04-27,"New York","NY","NYT",463
2020-04-28,"New York","NY","NYT",510
2020-04-29,"New York","NY","NYT",510
2020-04-30,"New York","NY","NYT",329
2020-05-01,"New York","NY","NYT",225
2020-05-02,"New York","NY","NYT",194
2020-05-03,"New York","NY","NYT",541
2020-05-04,"New York","NY","NYT",212
2020-05-05,"New York","NY","NYT",240
2020-05-06,"New York","NY","NYT",928
2020-05-07,"New York","NY","NYT",250
2020-05-08,"New York","NY","NYT",152
2020-05-09,"New York","NY","NYT",226
2020-05-10,"New York","NY","NYT",214
2020-05-11,"New York","NY","NYT",205
2020-05-12,"New York","NY","NYT",279
2020-05-13,"New York","NY","NYT",166
2020-05-14,"New York","NY","NYT",169
2020-05-15,"New York","NY","NYT",138
2020-05-16,"New York","NY","NYT",198
2020-05-17,"New York","NY","NYT",215
2020-05-18,"New York","NY","NYT",134
2020-05-19,"New York","NY","NYT",135
2020-05-20,"New York","NY","NYT",103
2020-05-21,"New York","NY","NYT",123
2020-05-22,"New York","NY","NYT",139
2020-05-23,"New York","NY","NYT",98
2020-05-24,"New York","NY","NYT",146
2020-05-25,"New York","NY","NYT",92
2020-05-26,"New York","NY","NYT",103
2020-05-27,"New York","NY","NYT",98
2020-05-28,"New York","NY","NYT",99
2020-05-29,"New York","NY","NYT",97
2020-05-30,"New York","NY","NYT",77
2020-05-31,"New York","NY","NYT",87
2020-06-01,"New York","NY","NYT",67
2020-06-02,"New York","NY","NYT",81
2020-06-03,"New York","NY","NYT",71
2020-06-04,"New York","NY","NYT",93
2020-06-05,"New York","NY","NYT",55
2020-03-15,"New York","NY","USAFacts",4
2020-03-16,"New York","NY","USAFacts",7
2020-03-17,"New York","NY","USAFacts",8
2020-03-18,"New York","NY","USAFacts",8
2020-03-19,"New York","NY","USAFacts",20
2020-03-20,"New York","NY","USAFacts",-2
2020-03-21,"New York","NY","USAFacts",29
2020-03-22,"New York","NY","USAFacts",62
2020-03-23,"New York","NY","USAFacts",53
2020-03-24,"New York","NY","USAFacts",92
2020-03-25,"New York","NY","USAFacts",124
2020-03-26,"New York","NY","USAFacts",138
2020-03-27,"New York","NY","USAFacts",148
2020-03-28,"New York","NY","USAFacts",297
2020-03-29,"New York","NY","USAFacts",244
2020-03-30,"New York","NY","USAFacts",334
2020-03-31,"New York","NY","USAFacts",422
2020-04-01,"New York","NY","USAFacts",499
2020-04-02,"New York","NY","USAFacts",603
2020-04-03,"New York","NY","USAFacts",738
2020-04-04,"New York","NY","USAFacts",693
2020-04-05,"New York","NY","USAFacts",907
2020-04-06,"New York","NY","USAFacts",827
2020-04-07,"New York","NY","USAFacts",1010
2020-04-08,"New York","NY","USAFacts",927
2020-04-09,"New York","NY","USAFacts",953
2020-04-10,"New York","NY","USAFacts",1246
2020-04-11,"New York","NY","USAFacts",718
2020-04-12,"New York","NY","USAFacts",938
2020-04-13,"New York","NY","USAFacts",858
2020-04-14,"New York","NY","USAFacts",1051
2020-04-15,"New York","NY","USAFacts",766
2020-04-16,"New York","NY","USAFacts",711
2020-04-17,"New York","NY","USAFacts",561
2020-04-18,"New York","NY","USAFacts",232
2020-04-19,"New York","NY","USAFacts",1460
2020-04-20,"New York","NY","USAFacts",614
2020-04-21,"New York","NY","USAFacts",838
2020-04-22,"New York","NY","USAFacts",690
2020-04-23,"New York","NY","USAFacts",551
2020-04-24,"New York","NY","USAFacts",495
2020-04-25,"New York","NY","USAFacts",594
2020-04-26,"New York","NY","USAFacts",400
2020-04-27,"New York","NY","USAFacts",366
2020-04-28,"New York","NY","USAFacts",448
2020-04-29,"New York","NY","USAFacts",385
2020-04-30,"New York","NY","USAFacts",339
2020-05-01,"New York","NY","USAFacts",343
2020-05-02,"New York","NY","USAFacts",173
2020-05-03,"New York","NY","USAFacts",537
2020-05-04,"New York","NY","USAFacts",248
2020-05-05,"New York","NY","USAFacts",267
2020-05-06,"New York","NY","USAFacts",885
2020-05-07,"New York","NY","USAFacts",296
2020-05-08,"New York","NY","USAFacts",194
2020-05-09,"New York","NY","USAFacts",230
2020-05-10,"New York","NY","USAFacts",139
2020-05-11,"New York","NY","USAFacts",160
2020-05-12,"New York","NY","USAFacts",245
2020-05-13,"New York","NY","USAFacts",141
2020-05-14,"New York","NY","USAFacts",149
2020-05-15,"New York","NY","USAFacts",135
2020-05-16,"New York","NY","USAFacts",102
2020-05-17,"New York","NY","USAFacts",133
2020-05-18,"New York","NY","USAFacts",127
2020-05-19,"New York","NY","USAFacts",134
2020-05-20,"New York","NY","USAFacts",94
2020-05-21,"New York","NY","USAFacts",146
2020-05-22,"New York","NY","USAFacts",80
2020-05-23,"New York","NY","USAFacts",83
2020-05-24,"New York","NY","USAFacts",134
2020-05-25,"New York","NY","USAFacts",109
2020-05-26,"New York","NY","USAFacts",75
2020-05-27,"New York","NY","USAFacts",91
2020-05-28,"New York","NY","USAFacts",83
2020-05-29,"New York","NY","USAFacts",78
2020-05-30,"New York","NY","USAFacts",0
2020-05-31,"New York","NY","USAFacts",0
2020-06-01,"New York","NY","USAFacts",196
2020-06-02,"New York","NY","USAFacts",91
2020-06-03,"New York","NY","USAFacts",62
2020-06-04,"New York","NY","USAFacts",76
2020-06-05,"New York","NY","USAFacts",32
